Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,767.000000,771.400024,764.500000,769.150024,765.633118,2654087
2022-09-13,774.000000,788.900024,770.000000,784.250000,780.664063,8335652
2022-09-14,776.000000,788.400024,775.750000,783.349976,779.768127,6645392
2022-09-15,788.000000,790.650024,782.000000,785.099976,781.510132,5485310
2022-09-16,788.000000,788.000000,776.450012,779.650024,776.085083,20211162
2022-09-19,773.500000,786.000000,772.200012,782.750000,779.170898,5760313
2022-09-20,786.700012,796.950012,785.000000,792.150024,788.527954,7936714
2022-09-21,792.150024,797.000000,779.000000,780.200012,776.632568,9966193
2022-09-22,791.200012,794.799988,776.349976,784.099976,780.514709,7721133
2022-09-23,788.000000,788.000000,768.700012,771.349976,767.822998,9271829
2022-09-26,769.950012,771.150024,753.200012,755.049988,751.597534,13144297
2022-09-27,758.849976,765.000000,757.200012,760.599976,757.122192,5965026
2022-09-28,755.500000,771.000000,755.000000,761.450012,757.968323,5546932
2022-09-29,763.950012,769.000000,759.299988,764.650024,761.153687,5413233
2022-09-30,765.950012,809.000000,761.450012,799.900024,796.242493,7469164
2022-10-03,803.400024,815.549988,798.049988,803.349976,799.676697,12619046
2022-10-04,813.000000,816.750000,807.500000,808.700012,805.002258,5772140
2022-10-06,810.549988,815.849976,786.650024,788.599976,784.994141,6503205
2022-10-07,792.000000,796.799988,784.700012,793.099976,789.473572,6025982
2022-10-10,784.950012,794.799988,779.700012,792.349976,788.726990,3519416
2022-10-11,797.500000,797.500000,776.000000,780.299988,776.732117,3699862
2022-10-12,780.299988,781.349976,769.200012,775.549988,772.003845,5984299
2022-10-13,775.000000,779.000000,767.650024,768.900024,765.384277,2842056
2022-10-14,779.950012,779.950012,763.049988,765.950012,762.447754,3608210
2022-10-17,761.000000,771.000000,759.849976,766.000000,762.497498,4566333
2022-10-18,769.849976,785.599976,768.650024,783.150024,779.569092,4391263
2022-10-19,787.950012,788.650024,779.500000,783.400024,779.817993,5219180
2022-10-20,782.000000,794.000000,778.299988,792.900024,789.274536,4756732
2022-10-21,790.000000,802.849976,789.750000,797.450012,793.803711,4807736
2022-10-24,800.000000,807.500000,800.000000,802.099976,798.432434,522406
2022-10-25,806.150024,806.349976,798.700012,802.299988,798.631531,3184277
2022-10-27,806.500000,822.200012,804.200012,817.099976,813.363831,8159181
2022-10-28,819.000000,824.400024,811.299988,816.849976,813.114990,3905093
2022-10-31,823.000000,833.799988,820.000000,832.000000,828.195740,5487233
2022-11-01,828.000000,841.450012,821.049988,835.549988,831.729492,10488759
2022-11-02,830.000000,830.000000,807.250000,809.849976,806.146973,11729925
2022-11-03,809.750000,824.400024,804.200012,818.650024,814.906799,5897840
2022-11-04,815.700012,821.799988,809.200012,816.400024,812.667053,3768226
2022-11-07,817.000000,824.049988,809.000000,822.700012,818.938232,7171570
2022-11-09,824.200012,825.500000,814.450012,819.049988,815.304932,3969171
2022-11-10,819.799988,830.700012,817.549988,825.750000,821.974304,4425290
2022-11-11,830.750000,836.900024,823.799988,826.900024,823.119080,4325441
2022-11-14,818.000000,830.799988,817.000000,821.900024,818.141907,10406576
2022-11-15,822.650024,838.750000,822.650024,835.250000,831.430847,6229710
2022-11-16,837.500000,844.049988,828.049988,841.200012,837.353638,3445345
2022-11-17,841.799988,849.400024,838.400024,846.150024,842.281067,4545534
2022-11-18,849.950012,851.849976,831.099976,837.299988,833.471497,7405949
2022-11-21,837.000000,852.799988,835.000000,851.200012,847.307922,5527122
2022-11-22,853.400024,860.549988,845.099976,847.599976,843.724365,7601660
2022-11-23,851.849976,851.849976,841.599976,843.250000,839.394287,4596816
2022-11-24,846.000000,851.000000,837.750000,848.349976,844.470947,3455310
2022-11-25,852.000000,860.000000,841.599976,846.849976,842.977783,2991065
2022-11-28,840.250000,852.549988,836.049988,837.400024,833.571045,3668846
2022-11-29,839.000000,844.799988,835.000000,835.849976,832.028076,2680296
2022-11-30,834.799988,852.000000,832.599976,848.750000,844.869141,6874390
2022-12-01,853.000000,853.200012,841.599976,848.599976,844.719788,4506664
2022-12-02,851.400024,851.950012,839.099976,848.650024,844.769592,3505272
2022-12-05,851.000000,851.599976,840.849976,844.099976,840.240356,3311316
2022-12-06,844.900024,845.000000,829.700012,833.349976,829.539551,5567349
2022-12-07,837.549988,841.599976,832.000000,834.000000,830.186584,3771882
2022-12-08,833.000000,840.200012,826.299988,832.599976,828.792969,4822179
2022-12-09,830.299988,836.599976,823.950012,834.900024,831.082458,4615843
2022-12-12,832.599976,836.950012,825.400024,828.400024,824.612183,3149823
2022-12-13,822.000000,840.000000,822.000000,838.049988,834.218018,3832999
2022-12-14,840.650024,842.000000,828.150024,829.200012,825.408508,7491333
2022-12-15,829.000000,831.000000,824.349976,826.349976,822.571533,2996482
2022-12-16,825.000000,832.700012,819.900024,822.750000,818.988037,4309644
2022-12-19,822.700012,845.049988,822.000000,840.400024,836.557312,6397169
2022-12-20,839.750000,839.750000,822.000000,828.950012,825.159668,2828863
2022-12-21,833.000000,833.049988,812.349976,814.000000,810.278015,5079337
2022-12-22,819.000000,824.700012,809.500000,816.599976,812.866089,3626834
2022-12-23,814.000000,817.950012,805.000000,808.650024,804.952515,2804496
2022-12-26,805.049988,815.200012,801.150024,811.000000,807.291748,6023206
2022-12-27,815.000000,819.450012,805.000000,814.799988,811.074341,1782053
2022-12-28,813.000000,813.900024,801.450012,803.799988,800.124634,2907741
2022-12-29,807.049988,824.750000,760.099976,820.750000,816.997131,6110313
