Date,Open,High,Low,Close,Adj Close,Volume
2022-11-17,397.899994,398.000000,395.000000,396.750000,395.775177,3028808
2022-11-18,397.850006,398.899994,392.799988,393.850006,392.882294,4773101
2022-11-21,393.850006,394.450012,387.600006,388.649994,387.695068,3952306
2022-11-22,389.000000,389.399994,384.500000,388.799988,387.844696,4205414
2022-11-23,390.750000,391.950012,388.000000,388.750000,387.794830,3358880
2022-11-24,389.899994,399.750000,389.149994,398.250000,397.271484,6685133
2022-11-25,399.000000,404.399994,395.899994,402.799988,401.810303,6824275
2022-11-28,402.799988,409.450012,402.000000,405.649994,404.653290,6839600
2022-11-29,403.000000,408.899994,402.899994,405.149994,404.154541,4551301
2022-11-30,406.899994,408.000000,402.649994,406.899994,405.900238,6946173
2022-12-01,412.850006,416.350006,411.649994,413.700012,412.683533,7926492
2022-12-02,413.799988,413.899994,409.049988,412.399994,411.386719,5863311
2022-12-05,413.250000,414.950012,410.649994,412.350006,411.336853,4973531
2022-12-06,410.500000,412.600006,407.799988,411.350006,410.339325,4416259
2022-12-07,409.000000,409.500000,405.299988,406.299988,405.301697,3284308
2022-12-08,407.250000,408.000000,403.299988,403.700012,402.708099,4470356
2022-12-09,406.000000,406.000000,391.250000,394.049988,393.081787,7711668
2022-12-12,392.899994,397.500000,388.000000,396.350006,395.376160,5182940
2022-12-13,398.350006,399.350006,396.000000,397.750000,396.772705,3406921
2022-12-14,400.799988,404.500000,399.250000,400.049988,399.067047,4997576
2022-12-15,399.750000,399.750000,394.049988,395.200012,394.229004,3883463
2022-12-16,391.399994,394.799988,388.049988,389.750000,388.792389,9006317
2022-12-19,388.450012,390.500000,385.700012,389.049988,388.094086,4419023
2022-12-20,388.799988,389.899994,383.000000,388.950012,387.994354,4389279
2022-12-21,390.899994,393.250000,387.850006,389.500000,388.542999,5107607
2022-12-22,390.100006,391.950012,386.000000,388.750000,387.794830,4546900
2022-12-23,384.000000,385.850006,377.000000,377.649994,376.722107,6060355
2022-12-26,378.000000,381.600006,376.299988,380.500000,379.565094,3630574
2022-12-27,382.500000,387.350006,380.250000,386.600006,385.650116,3842920
2022-12-28,385.000000,389.549988,383.250000,387.799988,386.847168,3838001
2022-12-29,386.250000,392.100006,384.799988,390.750000,389.789917,4742699
2022-12-30,393.000000,396.299988,391.549988,392.750000,391.785004,4128278
2023-01-02,393.000000,393.899994,390.500000,393.049988,392.084259,2779756
2023-01-03,393.049988,397.750000,391.700012,397.049988,396.074432,2997211
2023-01-04,397.500000,397.500000,388.600006,389.700012,388.742523,4463261
2023-01-05,390.000000,392.200012,383.750000,386.899994,385.949371,4784490
2023-01-06,387.000000,388.799988,381.399994,382.000000,381.061432,4242377
2023-01-09,386.000000,393.000000,385.100006,391.799988,390.837341,3673716
2023-01-10,392.000000,393.899994,387.350006,393.049988,392.084259,3939748
2023-01-11,393.000000,396.000000,391.500000,393.850006,392.882294,3828300
2023-01-12,395.750000,397.899994,390.500000,394.500000,393.530701,4755250
2023-01-13,396.000000,396.600006,386.500000,393.899994,392.932159,6810930
2023-01-16,390.000000,401.000000,389.000000,398.600006,397.620636,11933722
2023-01-17,400.049988,402.049988,393.750000,396.350006,395.376160,7155016
2023-01-18,398.500000,403.850006,398.000000,403.200012,402.209351,8040213
2023-01-19,402.100006,404.000000,398.750000,403.399994,402.408844,4723728
2023-01-20,403.549988,405.399994,401.299988,403.149994,402.159454,4632807
2023-01-23,405.200012,407.750000,402.500000,407.000000,406.000000,4407645
2023-01-24,408.399994,410.200012,405.149994,406.600006,406.600006,4776320
2023-01-25,405.000000,405.899994,400.000000,401.549988,401.549988,3177777
2023-01-27,401.549988,403.600006,394.200012,398.049988,398.049988,3705067
2023-01-30,398.049988,404.799988,395.049988,402.250000,402.250000,3630628
2023-01-31,402.299988,402.549988,397.700012,398.850006,398.850006,4783423
2023-02-01,401.500000,403.899994,398.350006,402.399994,402.399994,3514948
2023-02-02,402.399994,410.000000,402.399994,409.450012,409.450012,5417730
2023-02-03,412.549988,413.000000,406.149994,407.899994,407.899994,4425118
2023-02-06,405.399994,406.200012,401.600006,404.649994,404.649994,2979011
2023-02-07,405.500000,405.500000,399.049988,400.500000,400.500000,3341790
2023-02-08,401.000000,407.600006,401.000000,406.750000,406.750000,4150488
2023-02-09,406.750000,408.950012,403.549988,408.299988,408.299988,2638687
2023-02-10,407.000000,407.000000,402.799988,405.799988,405.799988,2580070
2023-02-13,405.649994,405.649994,399.200012,400.600006,400.600006,2412678
2023-02-14,403.000000,406.450012,401.500000,405.100006,405.100006,2319411
2023-02-15,402.700012,407.850006,400.350006,407.399994,407.399994,2613836
2023-02-16,408.799988,413.250000,408.549988,409.899994,409.899994,5594681
2023-02-17,406.850006,408.000000,404.000000,406.299988,406.299988,2808122
2023-02-20,405.299988,407.799988,402.200012,407.049988,407.049988,3248594
2023-02-21,407.399994,408.000000,402.100006,402.750000,402.750000,2880586
2023-02-22,399.500000,400.350006,394.450012,395.149994,395.149994,3441686
2023-02-23,395.799988,398.700012,393.399994,393.950012,393.950012,3039161
2023-02-24,395.950012,396.500000,392.549988,393.299988,393.299988,2553317
2023-02-27,392.750000,393.299988,385.450012,390.350006,390.350006,2777355
2023-02-28,391.850006,393.200012,385.700012,387.049988,387.049988,5030801
2023-03-01,388.100006,391.750000,387.299988,390.950012,390.950012,2271306
2023-03-02,388.700012,390.350006,387.299988,388.049988,388.049988,2219486
2023-03-03,390.600006,391.450012,389.100006,390.450012,390.450012,2196968
2023-03-06,392.450012,396.649994,392.100006,393.750000,393.750000,3363861
2023-03-08,391.649994,393.000000,388.850006,392.600006,392.600006,2454421
2023-03-09,392.799988,393.850006,389.600006,390.100006,390.100006,2078527
2023-03-10,387.899994,389.899994,386.600006,389.100006,389.100006,2283698
2023-03-13,389.000000,392.600006,383.750000,385.450012,385.450012,2991260
