Date,Open,High,Low,Close,Adj Close,Volume
2022-12-02,463.299988,470.399994,458.000000,461.100006,458.108765,6621056
2022-12-05,466.149994,483.850006,466.149994,481.200012,478.078369,14599958
2022-12-06,477.500000,477.500000,467.200012,470.000000,466.951019,7409338
2022-12-07,470.000000,472.100006,463.100006,464.299988,461.287994,5510513
2022-12-08,465.049988,472.950012,461.299988,471.649994,468.590302,4902003
2022-12-09,474.000000,476.000000,461.899994,462.850006,459.847412,5405738
2022-12-12,459.000000,466.950012,454.450012,461.950012,458.953247,4809486
2022-12-13,464.299988,466.000000,457.299988,458.100006,455.128235,4359377
2022-12-14,461.649994,470.950012,461.049988,469.299988,466.255554,6639699
2022-12-15,467.000000,470.649994,459.000000,461.000000,458.009399,3986930
2022-12-16,458.000000,462.750000,452.549988,456.750000,453.786987,6460140
2022-12-19,459.000000,463.000000,455.049988,460.149994,457.164917,3690005
2022-12-20,458.000000,459.250000,444.250000,457.049988,454.085022,7580480
2022-12-21,459.299988,463.899994,451.899994,457.149994,454.184387,5557133
2022-12-22,459.450012,463.000000,447.200012,455.500000,452.545074,4435416
2022-12-23,452.899994,452.899994,427.600006,429.549988,426.763428,7766201
2022-12-26,431.000000,445.399994,429.100006,442.950012,440.076508,3939359
2022-12-27,447.950012,472.399994,446.750000,471.000000,467.944519,13898138
2022-12-28,467.649994,473.700012,463.950012,465.950012,462.927307,7519133
2022-12-29,459.299988,472.200012,455.250000,469.899994,466.851654,8427104
2022-12-30,473.950012,482.299988,471.799988,473.350006,470.279297,8024424
2023-01-02,475.950012,491.000000,475.149994,487.049988,483.890411,11255811
2023-01-03,486.500000,488.450012,478.500000,479.899994,476.786804,5906501
2023-01-04,477.000000,477.450012,460.000000,461.500000,458.506165,9899885
2023-01-05,463.250000,467.450012,458.649994,465.700012,462.678925,7087634
2023-01-06,467.000000,474.000000,461.100006,462.649994,459.648682,6004013
2023-01-09,471.000000,474.000000,466.200012,470.750000,467.696167,6047398
2023-01-10,478.000000,480.500000,473.299988,477.549988,474.452026,7092319
2023-01-11,481.899994,493.450012,481.000000,490.950012,487.765137,11383752
2023-01-12,495.000000,495.600006,482.200012,485.649994,482.499481,7278634
2023-01-13,487.649994,490.000000,482.649994,488.500000,485.330994,7445162
2023-01-16,490.950012,492.700012,481.250000,483.049988,479.916351,3294109
2023-01-17,481.750000,489.299988,476.950012,487.899994,484.734894,7819426
2023-01-18,488.500000,504.000000,488.500000,502.950012,499.687286,12045667
2023-01-19,493.149994,503.000000,491.000000,498.899994,495.663544,7945795
2023-01-20,498.000000,501.549988,488.250000,489.950012,486.771606,5664588
2023-01-23,494.000000,500.350006,491.200012,494.200012,490.994049,5559031
2023-01-24,496.700012,497.899994,483.549988,484.649994,481.505981,3293586
2023-01-25,484.100006,495.799988,484.100006,489.100006,485.927124,7341066
2023-01-27,493.500000,494.799988,467.950012,479.000000,475.892639,4591590
